bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,11,55.0
Batter_1,Sinker,9,45.0
Batter_2,4-Seam Fastball,7,35.0
Batter_2,Curveball,2,10.0
Batter_2,Sinker,8,40.0
Batter_2,Sweeper,3,15.0
Batter_3,4-Seam Fastball,4,21.1
Batter_3,Curveball,2,10.5
Batter_3,Cutter,3,15.8
Batter_3,Sinker,5,26.3
Batter_3,Sweeper,5,26.3
Inning_2_leadoff,4-Seam Fastball,1,5.0
Inning_2_leadoff,Changeup,2,10.0
Inning_2_leadoff,Curveball,1,5.0
Inning_2_leadoff,Cutter,2,10.0
Inning_2_leadoff,Sinker,12,60.0
Inning_2_leadoff,Sweeper,2,10.0
Inning_3_leadoff,4-Seam Fastball,2,10.5
Inning_3_leadoff,Changeup,1,5.3
Inning_3_leadoff,Curveball,1,5.3
Inning_3_leadoff,Cutter,3,15.8
Inning_3_leadoff,Sinker,4,21.1
Inning_3_leadoff,Sweeper,8,42.1
