game_pk,game_date,bucket,pitch_name
778551,2025-03-27,Inning_3_leadoff,4-Seam Fastball
778551,2025-03-27,Leadoff_2nd_PA,Curveball
778551,2025-03-27,Batter_3,Curveball
778551,2025-03-27,Batter_2,4-Seam Fastball
778473,2025-04-02,Inning_3_leadoff,4-Seam Fastball
778473,2025-04-02,Leadoff_2nd_PA,Changeup
778473,2025-04-02,Batter_3,Sinker
778473,2025-04-02,Batter_2,4-Seam Fastball
778408,2025-04-08,Inning_3_leadoff,4-Seam Fastball
778408,2025-04-08,Leadoff_2nd_PA,4-Seam Fastball
778408,2025-04-08,Batter_3,Curveball
778408,2025-04-08,Batter_2,Sinker
778325,2025-04-14,Inning_3_leadoff,Sinker
778325,2025-04-14,Leadoff_2nd_PA,4-Seam Fastball
778325,2025-04-14,Batter_3,4-Seam Fastball
778325,2025-04-14,Batter_2,4-Seam Fastball
778244,2025-04-20,Inning_3_leadoff,4-Seam Fastball
778244,2025-04-20,Leadoff_2nd_PA,4-Seam Fastball
778244,2025-04-20,Batter_3,Cutter
778244,2025-04-20,Batter_2,4-Seam Fastball
778164,2025-04-26,Inning_3_leadoff,Sinker
778164,2025-04-26,Leadoff_2nd_PA,4-Seam Fastball
778164,2025-04-26,Batter_3,4-Seam Fastball
778164,2025-04-26,Batter_2,Sinker
778084,2025-05-02,Inning_3_leadoff,4-Seam Fastball
778084,2025-05-02,Leadoff_2nd_PA,Curveball
778084,2025-05-02,Batter_3,4-Seam Fastball
778084,2025-05-02,Batter_2,Sinker
778016,2025-05-07,Inning_3_leadoff,4-Seam Fastball
778016,2025-05-07,Leadoff_2nd_PA,4-Seam Fastball
778016,2025-05-07,Batter_3,4-Seam Fastball
778016,2025-05-07,Batter_2,Curveball
777933,2025-05-14,Inning_3_leadoff,Curveball
777933,2025-05-14,Leadoff_2nd_PA,4-Seam Fastball
777933,2025-05-14,Batter_3,Sweeper
777933,2025-05-14,Batter_2,Cutter
777862,2025-05-19,Inning_3_leadoff,Curveball
777862,2025-05-19,Leadoff_2nd_PA,Curveball
777862,2025-05-19,Batter_3,Sinker
777862,2025-05-19,Batter_2,4-Seam Fastball
777766,2025-05-25,Inning_3_leadoff,Cutter
777766,2025-05-25,Leadoff_2nd_PA,4-Seam Fastball
777766,2025-05-25,Batter_3,Cutter
777766,2025-05-25,Batter_2,Curveball
777697,2025-05-31,Inning_3_leadoff,4-Seam Fastball
777697,2025-05-31,Leadoff_2nd_PA,4-Seam Fastball
777697,2025-05-31,Batter_3,Cutter
777697,2025-05-31,Batter_2,Sinker
777620,2025-06-06,Inning_3_leadoff,Cutter
777620,2025-06-06,Leadoff_2nd_PA,4-Seam Fastball
777620,2025-06-06,Batter_3,Curveball
777620,2025-06-06,Batter_2,Cutter
777532,2025-06-12,Inning_3_leadoff,4-Seam Fastball
777532,2025-06-12,Leadoff_2nd_PA,Curveball
777532,2025-06-12,Batter_3,4-Seam Fastball
777532,2025-06-12,Batter_2,Cutter
777415,2025-06-21,Inning_3_leadoff,Cutter
777415,2025-06-21,Leadoff_2nd_PA,4-Seam Fastball
777415,2025-06-21,Batter_3,Sinker
777415,2025-06-21,Batter_2,Changeup
777349,2025-06-27,Inning_3_leadoff,4-Seam Fastball
777349,2025-06-27,Leadoff_2nd_PA,Cutter
777349,2025-06-27,Batter_3,Curveball
777349,2025-06-27,Batter_2,4-Seam Fastball
