game_pk,game_date,bucket,pitch_name
778432,2025-04-06,Inning_3_leadoff,4-Seam Fastball
778432,2025-04-06,Inning_2_leadoff,Slider
778432,2025-04-06,Batter_3,4-Seam Fastball
778432,2025-04-06,Batter_2,4-Seam Fastball
778275,2025-04-18,Inning_3_leadoff,4-Seam Fastball
778275,2025-04-18,Inning_2_leadoff,4-Seam Fastball
778275,2025-04-18,Batter_3,4-Seam Fastball
778275,2025-04-18,Batter_2,4-Seam Fastball
778073,2025-05-03,Inning_2_leadoff,Curveball
778073,2025-05-03,Batter_3,Slider
778073,2025-05-03,Batter_2,4-Seam Fastball
777990,2025-05-09,Inning_3_leadoff,Slider
777990,2025-05-09,Inning_2_leadoff,Slider
777990,2025-05-09,Batter_3,Slider
777990,2025-05-09,Batter_2,Slider
777927,2025-05-14,Inning_3_leadoff,4-Seam Fastball
777927,2025-05-14,Inning_2_leadoff,4-Seam Fastball
777927,2025-05-14,Batter_3,4-Seam Fastball
777927,2025-05-14,Batter_2,4-Seam Fastball
777856,2025-05-19,Inning_3_leadoff,4-Seam Fastball
777856,2025-05-19,Inning_2_leadoff,4-Seam Fastball
777856,2025-05-19,Batter_3,4-Seam Fastball
777856,2025-05-19,Batter_2,Curveball
777809,2025-05-24,Inning_3_leadoff,Slider
777809,2025-05-24,Inning_2_leadoff,4-Seam Fastball
777809,2025-05-24,Batter_3,4-Seam Fastball
777809,2025-05-24,Batter_2,Sweeper
777593,2025-06-08,Inning_3_leadoff,Curveball
777593,2025-06-08,Inning_2_leadoff,Slider
777593,2025-06-08,Batter_3,4-Seam Fastball
777593,2025-06-08,Batter_2,4-Seam Fastball
777516,2025-06-14,Inning_3_leadoff,4-Seam Fastball
777516,2025-06-14,Inning_2_leadoff,Slider
777516,2025-06-14,Batter_3,Sweeper
777516,2025-06-14,Batter_2,Slider
777425,2025-06-20,Inning_3_leadoff,4-Seam Fastball
777425,2025-06-20,Inning_2_leadoff,Slider
777425,2025-06-20,Batter_3,4-Seam Fastball
777425,2025-06-20,Batter_2,Sinker
777155,2025-07-11,Inning_2_leadoff,Slider
777155,2025-07-11,Batter_3,4-Seam Fastball
777155,2025-07-11,Batter_2,Sweeper
