game_pk,game_date,bucket,pitch_name
778541,2025-03-28,Inning_3_leadoff,4-Seam Fastball
778541,2025-03-28,Inning_2_leadoff,Slider
778541,2025-03-28,Batter_3,4-Seam Fastball
778541,2025-03-28,Batter_2,4-Seam Fastball
778541,2025-03-28,Batter_1,4-Seam Fastball
778469,2025-04-02,Inning_3_leadoff,Slider
778469,2025-04-02,Inning_2_leadoff,Slider
778469,2025-04-02,Batter_3,Sinker
778469,2025-04-02,Batter_2,4-Seam Fastball
778469,2025-04-02,Batter_1,4-Seam Fastball
778398,2025-04-08,Inning_3_leadoff,4-Seam Fastball
778398,2025-04-08,Inning_2_leadoff,Slider
778398,2025-04-08,Batter_3,4-Seam Fastball
778398,2025-04-08,Batter_2,4-Seam Fastball
778398,2025-04-08,Batter_1,Sinker
778316,2025-04-15,Inning_3_leadoff,Sinker
778316,2025-04-15,Inning_2_leadoff,4-Seam Fastball
778316,2025-04-15,Batter_3,Slider
778316,2025-04-15,Batter_2,4-Seam Fastball
778316,2025-04-15,Batter_1,4-Seam Fastball
778241,2025-04-20,Inning_3_leadoff,Slider
778241,2025-04-20,Inning_2_leadoff,4-Seam Fastball
778241,2025-04-20,Batter_3,4-Seam Fastball
778241,2025-04-20,Batter_2,4-Seam Fastball
778241,2025-04-20,Batter_1,4-Seam Fastball
778154,2025-04-26,Inning_3_leadoff,4-Seam Fastball
778154,2025-04-26,Inning_2_leadoff,Slider
778154,2025-04-26,Batter_3,4-Seam Fastball
778154,2025-04-26,Batter_2,4-Seam Fastball
778154,2025-04-26,Batter_1,4-Seam Fastball
778070,2025-05-03,Inning_3_leadoff,Sinker
778070,2025-05-03,Inning_2_leadoff,Sinker
778070,2025-05-03,Batter_3,4-Seam Fastball
778070,2025-05-03,Batter_2,Slider
778070,2025-05-03,Batter_1,4-Seam Fastball
777984,2025-05-09,Inning_3_leadoff,Sinker
777984,2025-05-09,Inning_2_leadoff,Sinker
777984,2025-05-09,Batter_3,Slider
777984,2025-05-09,Batter_2,4-Seam Fastball
777984,2025-05-09,Batter_1,Sinker
777915,2025-05-14,Inning_3_leadoff,4-Seam Fastball
777915,2025-05-14,Inning_2_leadoff,4-Seam Fastball
777915,2025-05-14,Batter_3,Slider
777915,2025-05-14,Batter_2,4-Seam Fastball
777915,2025-05-14,Batter_1,4-Seam Fastball
777857,2025-05-19,Inning_3_leadoff,4-Seam Fastball
777857,2025-05-19,Inning_2_leadoff,4-Seam Fastball
777857,2025-05-19,Batter_3,4-Seam Fastball
777857,2025-05-19,Batter_2,Sinker
777857,2025-05-19,Batter_1,4-Seam Fastball
777774,2025-05-25,Inning_3_leadoff,Slider
777774,2025-05-25,Inning_2_leadoff,Sinker
777774,2025-05-25,Batter_3,Sinker
777774,2025-05-25,Batter_2,Slider
777774,2025-05-25,Batter_1,Sinker
777680,2025-06-01,Inning_3_leadoff,4-Seam Fastball
777680,2025-06-01,Inning_2_leadoff,Sinker
777680,2025-06-01,Batter_3,4-Seam Fastball
777680,2025-06-01,Batter_2,Slider
777680,2025-06-01,Batter_1,Sinker
777603,2025-06-07,Inning_3_leadoff,4-Seam Fastball
777603,2025-06-07,Inning_2_leadoff,4-Seam Fastball
777603,2025-06-07,Batter_3,4-Seam Fastball
777603,2025-06-07,Batter_2,Sinker
777603,2025-06-07,Batter_1,4-Seam Fastball
777520,2025-06-13,Inning_3_leadoff,4-Seam Fastball
777520,2025-06-13,Inning_2_leadoff,4-Seam Fastball
777520,2025-06-13,Batter_3,Sinker
777520,2025-06-13,Batter_2,4-Seam Fastball
777520,2025-06-13,Batter_1,Sinker
777453,2025-06-18,Inning_3_leadoff,Sinker
777453,2025-06-18,Inning_2_leadoff,4-Seam Fastball
777453,2025-06-18,Batter_3,Sinker
777453,2025-06-18,Batter_2,Sinker
777453,2025-06-18,Batter_1,Sinker
777375,2025-06-24,Inning_3_leadoff,4-Seam Fastball
777375,2025-06-24,Inning_2_leadoff,4-Seam Fastball
777375,2025-06-24,Batter_3,Sinker
777375,2025-06-24,Batter_2,Slider
777375,2025-06-24,Batter_1,4-Seam Fastball
777302,2025-06-29,Inning_3_leadoff,4-Seam Fastball
777302,2025-06-29,Inning_2_leadoff,Sinker
777302,2025-06-29,Batter_3,Sinker
777302,2025-06-29,Batter_2,Sinker
777302,2025-06-29,Batter_1,4-Seam Fastball
777225,2025-07-05,Inning_3_leadoff,Sinker
777225,2025-07-05,Inning_2_leadoff,Slider
777225,2025-07-05,Batter_3,Sinker
777225,2025-07-05,Batter_2,4-Seam Fastball
777225,2025-07-05,Batter_1,4-Seam Fastball
777161,2025-07-11,Inning_3_leadoff,4-Seam Fastball
777161,2025-07-11,Inning_2_leadoff,Slider
777161,2025-07-11,Batter_3,Sinker
777161,2025-07-11,Batter_2,4-Seam Fastball
777161,2025-07-11,Batter_1,4-Seam Fastball
777099,2025-07-18,Inning_3_leadoff,4-Seam Fastball
777099,2025-07-18,Inning_2_leadoff,4-Seam Fastball
777099,2025-07-18,Batter_3,Sinker
777099,2025-07-18,Batter_2,4-Seam Fastball
777099,2025-07-18,Batter_1,4-Seam Fastball
777024,2025-07-23,Inning_3_leadoff,Slider
777024,2025-07-23,Inning_2_leadoff,4-Seam Fastball
777024,2025-07-23,Batter_3,4-Seam Fastball
777024,2025-07-23,Batter_2,Sinker
777024,2025-07-23,Batter_1,4-Seam Fastball
