game_pk,game_date,bucket,pitch_name
777439,2025-06-20,Inning_3_leadoff,Slider
777439,2025-06-20,Inning_2_leadoff,Curveball
777439,2025-06-20,Batter_3,Slider
777439,2025-06-20,Batter_2,4-Seam Fastball
777439,2025-06-20,Batter_1,Slider
777347,2025-06-26,Inning_3_leadoff,4-Seam Fastball
777347,2025-06-26,Inning_2_leadoff,4-Seam Fastball
777347,2025-06-26,Batter_3,Slider
777347,2025-06-26,Batter_2,4-Seam Fastball
777347,2025-06-26,Batter_1,4-Seam Fastball
777275,2025-07-02,Inning_3_leadoff,Sweeper
777275,2025-07-02,Inning_2_leadoff,Sweeper
777275,2025-07-02,Batter_3,Slider
777275,2025-07-02,Batter_2,4-Seam Fastball
777275,2025-07-02,Batter_1,Slider
777208,2025-07-07,Inning_3_leadoff,Sweeper
777208,2025-07-07,Inning_2_leadoff,Sweeper
777208,2025-07-07,Batter_3,4-Seam Fastball
777208,2025-07-07,Batter_2,Curveball
777208,2025-07-07,Batter_1,4-Seam Fastball
777141,2025-07-12,Inning_3_leadoff,Sweeper
777141,2025-07-12,Inning_2_leadoff,4-Seam Fastball
777141,2025-07-12,Batter_3,Curveball
777141,2025-07-12,Batter_2,Sweeper
777141,2025-07-12,Batter_1,Slider
777082,2025-07-20,Inning_3_leadoff,4-Seam Fastball
777082,2025-07-20,Inning_2_leadoff,Slider
777082,2025-07-20,Batter_3,Curveball
777082,2025-07-20,Batter_2,4-Seam Fastball
777082,2025-07-20,Batter_1,4-Seam Fastball
776996,2025-07-26,Inning_3_leadoff,4-Seam Fastball
776996,2025-07-26,Inning_2_leadoff,Sweeper
776996,2025-07-26,Batter_3,4-Seam Fastball
776996,2025-07-26,Batter_2,Slider
776996,2025-07-26,Batter_1,4-Seam Fastball
776925,2025-08-01,Inning_3_leadoff,4-Seam Fastball
776925,2025-08-01,Inning_2_leadoff,Sweeper
776925,2025-08-01,Batter_3,Slider
776925,2025-08-01,Batter_2,Sweeper
776925,2025-08-01,Batter_1,4-Seam Fastball
