bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,7,77.8
Batter_1,Sinker,1,11.1
Batter_1,Slider,1,11.1
Batter_2,4-Seam Fastball,5,55.6
Batter_2,Slider,4,44.4
Batter_3,4-Seam Fastball,6,66.7
Batter_3,Sinker,1,11.1
Batter_3,Slider,2,22.2
Inning_2_leadoff,4-Seam Fastball,1,11.1
Inning_2_leadoff,Sinker,1,11.1
Inning_2_leadoff,Slider,6,66.7
Inning_2_leadoff,Split-Finger,1,11.1
Inning_3_leadoff,4-Seam Fastball,3,33.3
Inning_3_leadoff,Sinker,1,11.1
Inning_3_leadoff,Slider,4,44.4
Inning_3_leadoff,Split-Finger,1,11.1
