bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,18,94.7
Batter_1,Sinker,1,5.3
Batter_2,4-Seam Fastball,8,42.1
Batter_2,Curveball,7,36.8
Batter_2,Sinker,3,15.8
Batter_2,Slider,1,5.3
Batter_3,4-Seam Fastball,6,31.6
Batter_3,Changeup,2,10.5
Batter_3,Curveball,6,31.6
Batter_3,Sinker,2,10.5
Batter_3,Slider,3,15.8
Inning_2_leadoff,4-Seam Fastball,9,47.4
Inning_2_leadoff,Curveball,4,21.1
Inning_2_leadoff,Slider,6,31.6
Inning_3_leadoff,4-Seam Fastball,6,31.6
Inning_3_leadoff,Changeup,1,5.3
Inning_3_leadoff,Curveball,9,47.4
Inning_3_leadoff,Slider,3,15.8
