game_pk,game_date,bucket,pitch_name
778535,2025-03-29,Inning_3_leadoff,Sinker
778535,2025-03-29,Inning_2_leadoff,4-Seam Fastball
778535,2025-03-29,Batter_3,Slider
778535,2025-03-29,Batter_2,Slider
778535,2025-03-29,Batter_1,4-Seam Fastball
778459,2025-04-04,Inning_3_leadoff,Sinker
778459,2025-04-04,Inning_2_leadoff,4-Seam Fastball
778459,2025-04-04,Batter_3,Sinker
778459,2025-04-04,Batter_2,4-Seam Fastball
778459,2025-04-04,Batter_1,4-Seam Fastball
778384,2025-04-10,Inning_3_leadoff,Sinker
778384,2025-04-10,Inning_2_leadoff,Slider
778384,2025-04-10,Batter_3,4-Seam Fastball
778384,2025-04-10,Batter_2,Sweeper
778384,2025-04-10,Batter_1,4-Seam Fastball
778313,2025-04-15,Inning_3_leadoff,4-Seam Fastball
778313,2025-04-15,Inning_2_leadoff,4-Seam Fastball
778313,2025-04-15,Batter_3,4-Seam Fastball
778313,2025-04-15,Batter_2,4-Seam Fastball
778313,2025-04-15,Batter_1,4-Seam Fastball
778248,2025-04-20,Inning_3_leadoff,Sweeper
778248,2025-04-20,Inning_2_leadoff,4-Seam Fastball
778248,2025-04-20,Batter_3,Sinker
778248,2025-04-20,Batter_2,4-Seam Fastball
778248,2025-04-20,Batter_1,4-Seam Fastball
778174,2025-04-26,Inning_3_leadoff,Sweeper
778174,2025-04-26,Inning_2_leadoff,4-Seam Fastball
778174,2025-04-26,Batter_3,4-Seam Fastball
778174,2025-04-26,Batter_2,4-Seam Fastball
778174,2025-04-26,Batter_1,Sinker
778086,2025-05-02,Inning_3_leadoff,Sinker
778086,2025-05-02,Inning_2_leadoff,4-Seam Fastball
778086,2025-05-02,Batter_3,4-Seam Fastball
778086,2025-05-02,Batter_2,Sweeper
778086,2025-05-02,Batter_1,4-Seam Fastball
778005,2025-05-08,Inning_3_leadoff,Sweeper
778005,2025-05-08,Inning_2_leadoff,Sinker
778005,2025-05-08,Batter_3,Sinker
778005,2025-05-08,Batter_2,Sweeper
778005,2025-05-08,Batter_1,4-Seam Fastball
777922,2025-05-14,Inning_3_leadoff,Sinker
777922,2025-05-14,Inning_2_leadoff,Slider
777922,2025-05-14,Batter_3,Sinker
777922,2025-05-14,Batter_2,4-Seam Fastball
777922,2025-05-14,Batter_1,4-Seam Fastball
777842,2025-05-20,Inning_3_leadoff,4-Seam Fastball
777842,2025-05-20,Inning_2_leadoff,4-Seam Fastball
777842,2025-05-20,Batter_3,4-Seam Fastball
777842,2025-05-20,Batter_2,4-Seam Fastball
777842,2025-05-20,Batter_1,4-Seam Fastball
777765,2025-05-25,Inning_3_leadoff,4-Seam Fastball
777765,2025-05-25,Inning_2_leadoff,4-Seam Fastball
777765,2025-05-25,Batter_3,Sweeper
777765,2025-05-25,Batter_2,4-Seam Fastball
777765,2025-05-25,Batter_1,4-Seam Fastball
777702,2025-05-31,Inning_3_leadoff,4-Seam Fastball
777702,2025-05-31,Inning_2_leadoff,Sinker
777702,2025-05-31,Batter_3,4-Seam Fastball
777702,2025-05-31,Batter_2,4-Seam Fastball
777702,2025-05-31,Batter_1,4-Seam Fastball
777637,2025-06-05,Inning_3_leadoff,4-Seam Fastball
777637,2025-06-05,Inning_2_leadoff,4-Seam Fastball
777637,2025-06-05,Batter_3,Sweeper
777637,2025-06-05,Batter_2,Sinker
777553,2025-06-11,Inning_3_leadoff,4-Seam Fastball
777553,2025-06-11,Inning_2_leadoff,4-Seam Fastball
777553,2025-06-11,Batter_3,4-Seam Fastball
777553,2025-06-11,Batter_2,4-Seam Fastball
777553,2025-06-11,Batter_1,4-Seam Fastball
777481,2025-06-17,Inning_3_leadoff,4-Seam Fastball
777481,2025-06-17,Inning_2_leadoff,4-Seam Fastball
777481,2025-06-17,Batter_3,Sinker
777481,2025-06-17,Batter_2,Sweeper
777481,2025-06-17,Batter_1,4-Seam Fastball
777405,2025-06-22,Inning_3_leadoff,4-Seam Fastball
777405,2025-06-22,Inning_2_leadoff,Sweeper
777405,2025-06-22,Batter_3,4-Seam Fastball
777405,2025-06-22,Batter_2,4-Seam Fastball
777405,2025-06-22,Batter_1,4-Seam Fastball
777333,2025-06-28,Inning_3_leadoff,4-Seam Fastball
777333,2025-06-28,Inning_2_leadoff,Slider
777333,2025-06-28,Batter_3,4-Seam Fastball
777333,2025-06-28,Batter_2,4-Seam Fastball
777333,2025-06-28,Batter_1,4-Seam Fastball
777255,2025-07-04,Inning_3_leadoff,4-Seam Fastball
777255,2025-07-04,Inning_2_leadoff,4-Seam Fastball
777255,2025-07-04,Batter_3,4-Seam Fastball
777255,2025-07-04,Batter_2,4-Seam Fastball
777255,2025-07-04,Batter_1,4-Seam Fastball
777163,2025-07-09,Inning_3_leadoff,4-Seam Fastball
777163,2025-07-09,Inning_2_leadoff,4-Seam Fastball
777163,2025-07-09,Batter_3,4-Seam Fastball
777163,2025-07-09,Batter_2,Sinker
777163,2025-07-09,Batter_1,4-Seam Fastball
777106,2025-07-18,Inning_3_leadoff,Sweeper
777106,2025-07-18,Inning_2_leadoff,4-Seam Fastball
777106,2025-07-18,Batter_3,4-Seam Fastball
777106,2025-07-18,Batter_2,4-Seam Fastball
777106,2025-07-18,Batter_1,4-Seam Fastball
777038,2025-07-23,Inning_3_leadoff,Sinker
777038,2025-07-23,Inning_2_leadoff,4-Seam Fastball
777038,2025-07-23,Batter_3,4-Seam Fastball
777038,2025-07-23,Batter_2,Sinker
777038,2025-07-23,Batter_1,4-Seam Fastball
776952,2025-07-29,Inning_3_leadoff,4-Seam Fastball
776952,2025-07-29,Inning_2_leadoff,4-Seam Fastball
776952,2025-07-29,Batter_3,Sinker
776952,2025-07-29,Batter_2,4-Seam Fastball
776952,2025-07-29,Batter_1,4-Seam Fastball
776877,2025-08-04,Inning_3_leadoff,Sweeper
776877,2025-08-04,Inning_2_leadoff,4-Seam Fastball
776877,2025-08-04,Batter_3,4-Seam Fastball
776877,2025-08-04,Batter_2,4-Seam Fastball
776877,2025-08-04,Batter_1,4-Seam Fastball
776810,2025-08-09,Inning_3_leadoff,Sinker
776810,2025-08-09,Inning_2_leadoff,4-Seam Fastball
776810,2025-08-09,Batter_3,4-Seam Fastball
776810,2025-08-09,Batter_2,Sweeper
776810,2025-08-09,Batter_1,4-Seam Fastball
776743,2025-08-14,Inning_3_leadoff,Sweeper
776743,2025-08-14,Inning_2_leadoff,4-Seam Fastball
776743,2025-08-14,Batter_3,4-Seam Fastball
776743,2025-08-14,Batter_2,4-Seam Fastball
776743,2025-08-14,Batter_1,4-Seam Fastball
776662,2025-08-20,Inning_3_leadoff,Sinker
776662,2025-08-20,Inning_2_leadoff,Sinker
776662,2025-08-20,Batter_3,Sinker
776662,2025-08-20,Batter_2,4-Seam Fastball
776662,2025-08-20,Batter_1,Sinker
776585,2025-08-26,Inning_3_leadoff,Sinker
776585,2025-08-26,Inning_2_leadoff,4-Seam Fastball
776585,2025-08-26,Batter_3,4-Seam Fastball
776585,2025-08-26,Batter_2,Sinker
776585,2025-08-26,Batter_1,Sinker
776522,2025-08-31,Inning_3_leadoff,4-Seam Fastball
776522,2025-08-31,Inning_2_leadoff,Sweeper
776522,2025-08-31,Batter_3,4-Seam Fastball
776522,2025-08-31,Batter_2,4-Seam Fastball
776522,2025-08-31,Batter_1,4-Seam Fastball
776433,2025-09-06,Inning_3_leadoff,Sweeper
776433,2025-09-06,Inning_2_leadoff,Sinker
776433,2025-09-06,Batter_3,Sweeper
776433,2025-09-06,Batter_2,Sweeper
776433,2025-09-06,Batter_1,4-Seam Fastball
776371,2025-09-11,Inning_3_leadoff,4-Seam Fastball
776371,2025-09-11,Inning_2_leadoff,4-Seam Fastball
776371,2025-09-11,Batter_3,Sweeper
