bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,19,95.0
Batter_1,Curveball,1,5.0
Batter_2,4-Seam Fastball,14,70.0
Batter_2,Changeup,1,5.0
Batter_2,Curveball,3,15.0
Batter_2,Sinker,2,10.0
Batter_3,4-Seam Fastball,10,50.0
Batter_3,Changeup,1,5.0
Batter_3,Curveball,4,20.0
Batter_3,Cutter,4,20.0
Batter_3,Sinker,1,5.0
Inning_2_leadoff,4-Seam Fastball,7,35.0
Inning_2_leadoff,Changeup,1,5.0
Inning_2_leadoff,Curveball,5,25.0
Inning_2_leadoff,Cutter,5,25.0
Inning_2_leadoff,Sinker,2,10.0
Inning_3_leadoff,4-Seam Fastball,14,70.0
Inning_3_leadoff,Curveball,3,15.0
Inning_3_leadoff,Cutter,1,5.0
Inning_3_leadoff,Sinker,2,10.0
