game_pk,game_date,bucket,pitch_name
778531,2025-03-29,Inning_3_leadoff,Knuckle Curve
778531,2025-03-29,Inning_2_leadoff,4-Seam Fastball
778531,2025-03-29,Batter_3,Sinker
778531,2025-03-29,Batter_2,Sinker
778531,2025-03-29,Batter_1,Sinker
778463,2025-04-04,Inning_3_leadoff,Cutter
778463,2025-04-04,Inning_2_leadoff,4-Seam Fastball
778463,2025-04-04,Batter_3,4-Seam Fastball
778463,2025-04-04,Batter_2,4-Seam Fastball
778463,2025-04-04,Batter_1,4-Seam Fastball
778377,2025-04-10,Inning_3_leadoff,Sinker
778377,2025-04-10,Inning_2_leadoff,Cutter
778377,2025-04-10,Batter_3,4-Seam Fastball
778377,2025-04-10,Batter_2,4-Seam Fastball
778377,2025-04-10,Batter_1,4-Seam Fastball
778319,2025-04-15,Inning_3_leadoff,Knuckle Curve
778319,2025-04-15,Inning_2_leadoff,Cutter
778319,2025-04-15,Batter_3,4-Seam Fastball
778319,2025-04-15,Batter_2,Sinker
778319,2025-04-15,Batter_1,4-Seam Fastball
778238,2025-04-21,Inning_3_leadoff,Knuckle Curve
778238,2025-04-21,Inning_2_leadoff,4-Seam Fastball
778238,2025-04-21,Batter_3,4-Seam Fastball
778238,2025-04-21,Batter_2,Sinker
778238,2025-04-21,Batter_1,4-Seam Fastball
778169,2025-04-26,Inning_3_leadoff,Cutter
778169,2025-04-26,Inning_2_leadoff,Sinker
778169,2025-04-26,Batter_3,Knuckle Curve
778169,2025-04-26,Batter_2,Sinker
778169,2025-04-26,Batter_1,4-Seam Fastball
777851,2025-05-20,Inning_3_leadoff,4-Seam Fastball
777851,2025-05-20,Inning_2_leadoff,4-Seam Fastball
777851,2025-05-20,Batter_3,Sinker
777851,2025-05-20,Batter_2,4-Seam Fastball
777851,2025-05-20,Batter_1,4-Seam Fastball
777785,2025-05-25,Inning_3_leadoff,4-Seam Fastball
777785,2025-05-25,Inning_2_leadoff,4-Seam Fastball
777785,2025-05-25,Batter_3,Cutter
777785,2025-05-25,Batter_2,4-Seam Fastball
777785,2025-05-25,Batter_1,4-Seam Fastball
777706,2025-05-31,Inning_3_leadoff,4-Seam Fastball
777706,2025-05-31,Inning_2_leadoff,Knuckle Curve
777706,2025-05-31,Batter_3,Sinker
777706,2025-05-31,Batter_2,4-Seam Fastball
777706,2025-05-31,Batter_1,Sinker
777627,2025-06-06,Inning_2_leadoff,Sinker
777627,2025-06-06,Batter_3,Slider
777627,2025-06-06,Batter_2,Sinker
