bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,13,72.2
Batter_1,Changeup,4,22.2
Batter_1,Slider,1,5.6
Batter_2,4-Seam Fastball,8,44.4
Batter_2,Changeup,5,27.8
Batter_2,Curveball,1,5.6
Batter_2,Slider,4,22.2
Batter_3,4-Seam Fastball,6,33.3
Batter_3,Changeup,6,33.3
Batter_3,Sinker,1,5.6
Batter_3,Slider,5,27.8
Inning_2_leadoff,4-Seam Fastball,6,33.3
Inning_2_leadoff,Changeup,2,11.1
Inning_2_leadoff,Curveball,1,5.6
Inning_2_leadoff,Sinker,1,5.6
Inning_2_leadoff,Slider,7,38.9
Inning_2_leadoff,Sweeper,1,5.6
Inning_3_leadoff,4-Seam Fastball,7,38.9
Inning_3_leadoff,Changeup,6,33.3
Inning_3_leadoff,Curveball,1,5.6
Inning_3_leadoff,Sinker,1,5.6
Inning_3_leadoff,Slider,1,5.6
Inning_3_leadoff,Sweeper,2,11.1
