bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,11,42.3
Batter_1,Sinker,15,57.7
Batter_2,4-Seam Fastball,8,30.8
Batter_2,Curveball,3,11.5
Batter_2,Sinker,15,57.7
Batter_3,4-Seam Fastball,3,11.5
Batter_3,Changeup,1,3.8
Batter_3,Curveball,6,23.1
Batter_3,Sinker,16,61.5
Inning_2_leadoff,4-Seam Fastball,5,19.2
Inning_2_leadoff,Curveball,8,30.8
Inning_2_leadoff,Sinker,13,50.0
Inning_3_leadoff,4-Seam Fastball,6,23.1
Inning_3_leadoff,Changeup,3,11.5
Inning_3_leadoff,Curveball,11,42.3
Inning_3_leadoff,Sinker,6,23.1
