bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,21,72.4
Batter_1,Sinker,8,27.6
Batter_2,4-Seam Fastball,8,27.6
Batter_2,Curveball,4,13.8
Batter_2,Sinker,14,48.3
Batter_2,Slider,3,10.3
Batter_3,4-Seam Fastball,8,27.6
Batter_3,Curveball,3,10.3
Batter_3,Sinker,15,51.7
Batter_3,Slider,3,10.3
Inning_2_leadoff,4-Seam Fastball,12,41.4
Inning_2_leadoff,Curveball,2,6.9
Inning_2_leadoff,Sinker,11,37.9
Inning_2_leadoff,Slider,4,13.8
Inning_3_leadoff,4-Seam Fastball,5,17.2
Inning_3_leadoff,Curveball,7,24.1
Inning_3_leadoff,Sinker,14,48.3
Inning_3_leadoff,Slider,3,10.3
