bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,13,68.4
Batter_1,Cutter,1,5.3
Batter_1,Sinker,5,26.3
Batter_2,4-Seam Fastball,11,57.9
Batter_2,Cutter,3,15.8
Batter_2,Sinker,2,10.5
Batter_2,Slider,3,15.8
Batter_3,4-Seam Fastball,9,47.4
Batter_3,Cutter,3,15.8
Batter_3,Sinker,1,5.3
Batter_3,Slider,6,31.6
Inning_2_leadoff,4-Seam Fastball,12,63.2
Inning_2_leadoff,Cutter,4,21.1
Inning_2_leadoff,Slider,3,15.8
Inning_3_leadoff,4-Seam Fastball,8,42.1
Inning_3_leadoff,Curveball,1,5.3
Inning_3_leadoff,Cutter,4,21.1
Inning_3_leadoff,Sinker,3,15.8
Inning_3_leadoff,Slider,3,15.8
