bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,2,7.7
Batter_1,Changeup,1,3.8
Batter_1,Cutter,1,3.8
Batter_1,Sinker,22,84.6
Batter_2,Curveball,6,23.1
Batter_2,Cutter,9,34.6
Batter_2,Sinker,11,42.3
Batter_3,4-Seam Fastball,2,7.7
Batter_3,Changeup,1,3.8
Batter_3,Curveball,6,23.1
Batter_3,Cutter,4,15.4
Batter_3,Sinker,13,50.0
Inning_2_leadoff,4-Seam Fastball,2,7.7
Inning_2_leadoff,Curveball,3,11.5
Inning_2_leadoff,Cutter,2,7.7
Inning_2_leadoff,Sinker,19,73.1
Inning_3_leadoff,4-Seam Fastball,3,11.5
Inning_3_leadoff,Changeup,1,3.8
Inning_3_leadoff,Curveball,6,23.1
Inning_3_leadoff,Cutter,4,15.4
Inning_3_leadoff,Sinker,12,46.2
