bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,14,60.9
Batter_1,Cutter,1,4.3
Batter_1,Sinker,8,34.8
Batter_2,4-Seam Fastball,9,39.1
Batter_2,Cutter,1,4.3
Batter_2,Sinker,10,43.5
Batter_2,Slider,3,13.0
Batter_3,4-Seam Fastball,3,13.0
Batter_3,Cutter,2,8.7
Batter_3,Sinker,14,60.9
Batter_3,Slider,4,17.4
Inning_2_leadoff,4-Seam Fastball,10,43.5
Inning_2_leadoff,Cutter,2,8.7
Inning_2_leadoff,Sinker,9,39.1
Inning_2_leadoff,Slider,2,8.7
Inning_3_leadoff,4-Seam Fastball,8,34.8
Inning_3_leadoff,Cutter,3,13.0
Inning_3_leadoff,Sinker,9,39.1
Inning_3_leadoff,Slider,3,13.0
