bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,17,77.3
Batter_1,Sinker,5,22.7
Batter_2,4-Seam Fastball,15,68.2
Batter_2,Sinker,4,18.2
Batter_2,Slider,3,13.6
Batter_3,4-Seam Fastball,13,59.1
Batter_3,Sinker,6,27.3
Batter_3,Slider,1,4.5
Batter_3,Sweeper,2,9.1
Inning_2_leadoff,4-Seam Fastball,6,27.3
Inning_2_leadoff,Sinker,8,36.4
Inning_2_leadoff,Slider,5,22.7
Inning_2_leadoff,Sweeper,3,13.6
Inning_3_leadoff,4-Seam Fastball,10,45.5
Inning_3_leadoff,Changeup,1,4.5
Inning_3_leadoff,Sinker,6,27.3
Inning_3_leadoff,Slider,3,13.6
Inning_3_leadoff,Sweeper,2,9.1
